"","id","sample","hexaco2","hexaco3","hexaco4","hexaco6","hexaco7","hexaco8","hexaco12","hexaco16","hexaco20","hexaco33","hexaco35","hexaco37","hexaco41","hexaco46","hexaco47","hexaco48","hexaco52","hexaco53","hexaco57","hexaco62","hexaco65","hexaco68","hexaco69","hexaco71","hexaco73","hexaco78","hexaco80","hexaco81","hexaco82","hexaco89","hexaco94","hexaco97","hexaco99","hexaco111","hexaco112","hexaco120","hexaco121","hexaco127","hexaco130","hexaco131","hexaco134","hexaco135","hexaco138","hexaco139","hexaco146","hexaco154","hexaco157","hexaco160","hexaco162","hexaco164","hexaco165","hexaco170","hexaco171","hexaco173","hexaco175","hexaco180","hexaco186","hexaco187","hexaco191","hexaco192"
"2755",101412,"research",3,4,3,2,2,2,3,2,3,2,4,3,2,2,2,2,2,4,3,2,3,2,4,2,4,4,3,4,2,3,3,2,2,4,4,4,4,4,4,1,4,2,4,3,3,2,3,2,4,3,2,4,2,2,1,2,4,2,3,4
"2756",101988,"research",3,4,3,2,2,4,3,4,2,3,4,2,2,3,2,3,3,4,3,4,4,4,4,2,2,3,2,4,4,4,3,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,4,4,3,3,4,2,2,2,2,2,4,3,3,4
"2757",215460,"applicant",3,4,3,2,2,4,3,3,3,2,4,3,2,2,2,2,3,5,2,2,4,3,4,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,4,2,2,3,2,2,4,3,3,2,3,2,2,3,2,2,2,2,4,2,3,3
"2758",216182,"applicant",3,4,3,2,2,4,3,2,3,2,5,3,1,1,1,2,3,5,3,2,5,5,4,1,5,1,3,3,3,3,4,2,2,4,3,4,5,5,4,1,3,4,2,1,4,2,2,3,3,4,3,3,2,2,1,5,4,1,2,3
"2759",101571,"research",3,4,3,3,1,4,5,5,2,3,5,4,1,2,1,2,4,4,2,3,4,4,4,1,4,2,2,4,3,5,3,3,2,4,4,4,4,5,4,1,4,4,3,1,3,3,3,4,4,2,3,3,2,2,1,2,4,1,2,2
"2760",101693,"research",3,4,3,3,3,3,5,3,3,2,4,4,2,3,2,2,3,4,2,3,4,3,4,2,2,4,3,3,3,3,3,4,2,3,3,4,2,4,3,2,3,3,4,3,2,3,3,3,3,3,2,4,2,2,3,1,3,3,2,3
"2761",101373,"research",3,4,3,4,1,2,2,2,2,2,5,3,2,1,3,2,4,3,4,2,2,3,5,2,2,2,3,3,2,2,4,4,2,5,4,4,2,5,4,3,4,3,5,2,3,3,5,2,5,2,2,4,1,2,1,4,3,3,3,3
"2762",215431,"applicant",3,4,3,4,3,2,2,2,2,4,4,4,2,2,2,3,3,5,2,2,4,4,4,2,3,3,3,2,2,3,4,3,2,3,3,2,3,4,3,3,3,4,2,3,3,3,3,2,2,3,3,3,2,2,2,4,4,2,2,4
"2763",102001,"research",3,4,3,4,4,4,2,4,3,3,4,3,2,3,4,4,3,4,4,4,5,4,4,2,4,2,2,4,3,4,3,2,2,4,4,2,4,5,3,2,4,4,2,3,3,4,3,2,4,3,3,3,3,2,1,4,2,3,3,4
"2764",216625,"applicant",3,4,3,2,1,4,4,3,1,2,5,4,4,1,3,2,3,5,3,3,4,4,4,1,4,2,3,3,2,4,4,4,1,5,4,3,4,5,4,1,4,5,4,2,2,2,4,3,5,3,5,4,1,1,1,2,2,3,2,4
"2765",100493,"research",3,4,3,2,2,3,3,4,3,1,5,1,2,2,2,2,2,5,4,3,3,4,5,1,2,3,3,4,2,4,2,2,1,3,4,3,2,4,2,1,4,3,4,3,3,2,5,2,4,3,2,2,1,1,2,2,2,3,2,2
"2766",218147,"applicant",3,4,3,3,2,4,3,2,2,2,3,3,2,3,2,2,3,5,4,2,4,4,5,1,4,3,2,3,2,3,3,2,1,4,5,4,4,4,4,1,2,4,3,2,4,3,3,2,3,2,2,2,1,1,1,3,3,1,3,3
"2767",101434,"research",3,4,3,4,5,4,3,4,4,4,3,2,3,3,2,4,3,4,2,4,4,4,4,3,3,3,4,2,3,3,4,3,3,2,3,2,4,3,4,3,3,2,2,3,3,3,3,3,2,3,3,4,3,2,3,2,4,3,3,4
"2768",100106,"research",3,4,4,1,3,4,5,4,3,1,3,4,1,2,2,1,3,4,4,2,4,4,3,2,4,5,3,4,2,4,1,2,2,4,2,4,4,3,4,1,2,3,4,2,3,4,3,3,4,3,3,2,4,2,2,2,4,1,4,2
"2769",217410,"applicant",3,4,4,2,1,4,2,2,2,2,4,4,2,3,2,1,4,5,2,4,4,4,4,2,3,2,3,4,2,2,2,3,2,4,3,4,4,5,3,2,4,2,4,2,2,4,2,2,3,4,2,4,2,3,1,2,4,2,2,4
"2770",100865,"research",3,4,4,2,4,2,4,2,5,1,4,4,5,4,3,1,3,4,5,4,2,5,4,2,4,4,4,4,2,2,2,2,2,4,4,5,4,4,3,2,2,4,5,2,3,3,2,3,4,2,2,3,2,2,2,4,2,2,4,2
"2771",100751,"research",3,4,4,1,1,3,4,2,2,2,3,3,2,2,2,2,4,4,3,4,3,4,4,5,3,5,4,4,2,2,4,4,2,4,4,4,4,5,4,1,2,4,4,2,2,4,2,2,3,2,3,4,2,2,1,2,3,2,2,2
"2772",216991,"applicant",3,4,4,1,2,2,3,2,4,4,4,4,2,1,3,2,4,4,3,4,4,4,5,2,4,4,4,2,1,2,4,2,1,4,4,4,4,5,5,1,2,4,5,1,4,2,1,2,3,1,2,2,1,2,1,2,3,1,2,2
"2773",215515,"applicant",3,4,4,1,2,2,4,4,1,1,4,3,1,2,1,2,3,5,5,2,4,2,4,2,5,4,5,5,2,2,3,2,1,5,5,5,3,4,4,2,3,4,4,1,1,2,4,4,3,2,1,5,1,2,1,1,3,1,4,1
"2774",216224,"applicant",3,4,4,2,1,2,2,1,2,2,5,4,2,1,2,2,4,4,3,4,5,3,4,1,4,1,4,4,1,2,5,1,1,5,5,4,5,5,4,2,4,4,4,2,2,4,3,2,4,3,2,5,1,2,1,2,2,3,3,2
"2775",217009,"applicant",3,4,4,2,1,2,4,2,3,2,5,4,2,1,2,3,4,5,4,3,2,4,5,1,3,4,3,4,1,4,4,3,1,5,5,3,4,5,4,1,4,4,4,1,3,5,2,2,4,2,1,4,1,2,2,2,2,1,2,2
"2776",215413,"applicant",3,4,4,2,1,3,5,1,3,2,3,4,2,1,2,2,4,4,3,2,4,4,5,2,4,5,2,4,1,2,4,2,2,4,2,4,5,5,4,2,4,4,3,1,4,4,2,2,4,2,3,4,1,2,1,1,4,1,3,2
"2777",218782,"applicant",3,4,4,2,1,3,5,2,3,2,4,3,2,1,2,2,3,4,3,3,3,4,4,2,4,3,3,3,1,3,4,2,1,4,3,4,4,5,4,1,4,3,4,3,4,3,2,2,3,3,2,4,1,2,1,2,3,2,2,2
"2778",214003,"applicant",3,4,4,2,1,3,5,2,3,1,4,4,2,1,2,2,4,4,4,2,3,4,5,2,4,4,4,5,2,3,4,3,1,5,4,4,4,5,4,1,2,4,4,2,2,4,2,2,4,3,2,5,1,1,1,1,3,2,2,1
"2779",100224,"research",3,4,4,2,2,4,4,4,3,2,4,3,2,2,4,3,4,4,4,3,4,3,4,2,3,3,3,4,3,3,4,3,2,4,4,3,4,4,4,2,4,4,4,2,3,4,3,2,4,3,2,3,2,2,2,2,2,2,4,2
